Date,AAPL US EQUITY,BABA US EQUITY,DIS US EQUITY,LULU US EQUITY,PSX US EQUITY,SPGI US EQUITY,LMT US EQUITY,TXN US EQUITY,V US EQUITY,MCD US EQUITY,SPX INDEX
04/09/2015,31.64,86.14,106.77,69.77,77.81,105.25,201.44,57.78,66.44,96.55,2091.18
04/10/2015,31.775,84.58,106.95,68.86,78.34,105.11,200.4,57.7,66.34,97.8,2102.06
04/13/2015,31.713,84.28,106.51,68.2,76.93,105.4,197.05,57.205,65.61,97.44,2092.43
04/14/2015,31.575,85,106.66,67.65,77.83,103.82,197.34,56.75,65.53,97.58,2095.84
04/15/2015,31.695,84.67,106.98,67.39,78.94,103.62,197.21,58.5,65.68,96.44,2106.63
04/16/2015,31.543,84.06,108.1,67.5,79.24,103.11,197.12,58.41,65.65,95.63,2104.99
04/17/2015,31.188,81.9,106.69,66.7,78.01,102.86,194.82,57.33,64.52,94.88,2081.18
04/20/2015,31.9,82.2,108.22,66.19,79.3,103.59,196.8,58.17,64.72,96.18,2100.4
04/21/2015,31.728,82.42,107.68,66.35,79.5,103.56,196.29,58.16,65.35,94.87,2097.29
04/22/2015,32.155,82.05,107.94,65.67,80.92,104.25,197.63,58.73,68.01,97.84,2107.96
04/23/2015,32.417,82.28,109,66.48,81.23,105.26,197.2,54.72,67.72,97,2112.93
04/24/2015,32.57,84.57,109.53,66.94,81.59,106.23,195.37,54.73,67.48,98.74,2117.69
04/27/2015,33.163,84.9,110.16,65.57,81.07,105.29,193.84,55.56,67.1,96.44,2108.92
04/28/2015,32.64,85.08,109.92,64.66,81.61,105.67,194.02,55.09,66.77,96.83,2114.76
04/29/2015,32.16,82.45,109.81,64.7,81,105.66,191.29,55.02,67.34,97.02,2106.85
04/30/2015,31.288,81.29,108.72,63.64,79.31,104.3,186.6,54.21,66.05,96.55,2085.51
05/01/2015,32.237,81.17,110.52,63.57,81.61,104.22,189,55.31,65.77,97.8,2108.29
05/04/2015,32.175,80.59,111.03,64.76,80.84,105.73,189.69,55.295,65.58,96.13,2114.49
05/05/2015,31.45,79.54,110.81,64.31,80.44,104.93,187.35,54.01,65.96,96.13,2089.46
05/06/2015,31.253,80,109.72,65.035,79.82,103.98,186.83,53.7,65.67,96.39,2080.15
05/07/2015,31.315,86,109.26,65.31,79.94,104.94,188.21,54.06,66.58,96.78,2088
05/08/2015,31.905,87.06,110.11,65.49,81.63,106.63,190.48,54.7,69.47,98.23,2116.1
05/11/2015,31.58,86.72,108.6,65.67,80.54,107.57,190.47,54.44,69.02,97.51,2105.33
05/12/2015,31.466,86.77,109.24,64.7,80.5,106.08,190.61,54.165,68.69,97.95,2099.12
05/13/2015,31.503,87.53,109.19,64.41,80.77,104.97,191,54.69,68.65,97.35,2098.48
